Id,pop
454,69
455,69
456,55
457,61
458,49
459,67
460,61
461,43
462,65
463,65
464,55
465,68
466,57
467,64
468,67
469,60
470,59
471,63
472,66
473,68
474,53
475,57
476,59
477,49
478,47
479,68
480,61
481,52
482,44
483,69
484,70
485,53
486,70
487,68
488,67
489,72
490,62
491,61
492,62
493,68
494,68
495,64
496,67
497,45
498,67
499,62
500,64
501,60
502,61
503,64
504,45
505,70
506,63
507,51
508,63
509,63
510,67
511,53
512,68
513,47
514,65
515,66
516,67
517,67
518,69
519,64
520,68
521,60
522,63
523,51
524,67
525,58
526,51
527,65
528,59
529,66
530,70
531,66
532,63
533,55
534,67
535,61
536,50
537,68
538,51
539,56
540,66
541,70
542,40
543,70
544,38
545,65
546,69
547,67
548,65
549,69
550,62
551,63
552,66
553,47
554,47
555,63
556,69
557,57
558,42
559,66
560,69
561,64
562,63
563,66
564,62
565,62
566,65
567,65
